Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
D,187,Walker,4.4,4.4,Burnley,82.65,163.80,0.00,82.65,82.65,82.65,82.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,190,Ekdal,3.8,3.8,Burnley,3.00,7.80,0.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,191,Estève,3.9,3.9,Burnley,87.45,174.90,0.00,87.45,87.45,87.45,87.45,0.02,0.02,0.00,0.00,0.01,0.01,0.02
D,192,Hartman,4.0,4.0,Burnley,54.30,87.15,0.00,54.30,54.30,54.30,54.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,193,Humphreys,3.9,3.9,Burnley,85.20,168.15,0.00,85.20,85.20,85.20,85.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,26.40,69.15,0.00,26.40,26.40,26.40,26.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,198,Tuanzebe,3.9,3.9,Burnley,12.75,25.50,0.00,12.75,12.75,12.75,12.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,199,Worrall,3.8,3.8,Burnley,38.40,83.85,0.00,38.40,38.40,38.40,38.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,200,Anthony,5.0,5.0,Burnley,77.10,152.85,0.00,77.10,77.10,77.10,77.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,202,Bruun Larsen,5.2,5.2,Burnley,11.70,18.45,0.00,11.70,11.70,11.70,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,30.60,61.20,0.00,30.60,30.60,30.60,30.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,207,Hannibal,4.7,4.7,Burnley,34.20,121.20,0.00,62.55,62.55,62.55,62.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
