id,isResult,h,a,goals,xG,datetime,forecast,season,league
1375,True,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '2'}","{'h': '2.21758', 'a': '3.31162'}",2016-10-01 17:30:00,"{'w': '0.1697', 'd': '0.1902', 'l': '0.6401'}",2016,Bundesliga
1376,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '2'}","{'h': '1.27773', 'a': '1.54526'}",2016-10-01 17:30:00,"{'w': '0.2685', 'd': '0.3173', 'l': '0.4142'}",2016,Bundesliga
1377,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '0'}","{'h': '0.464817', 'a': '0.715723'}",2016-10-01 17:30:00,"{'w': '0.2088', 'd': '0.4144', 'l': '0.3768'}",2016,Bundesliga
1378,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '0'}","{'h': '1.52698', 'a': '0.837447'}",2016-10-01 20:30:00,"{'w': '0.5651', 'd': '0.2735', 'l': '0.1614'}",2016,Bundesliga
1379,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '0', 'a': '0'}","{'h': '1.32308', 'a': '0.256465'}",2016-10-02 17:30:00,"{'w': '0.6875', 'd': '0.2549', 'l': '0.0576'}",2016,Bundesliga
1380,True,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '4', 'a': '0'}","{'h': '3.05307', 'a': '0.802215'}",2016-10-02 19:30:00,"{'w': '0.9053', 'd': '0.0733', 'l': '0.0214'}",2016,Bundesliga
1381,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '1', 'a': '1'}","{'h': '2.60334', 'a': '0.994838'}",2016-10-14 22:30:00,"{'w': '0.7858', 'd': '0.1479', 'l': '0.0663'}",2016,Bundesliga
1382,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '0'}","{'h': '3.46166', 'a': '0.209913'}",2016-10-15 17:30:00,"{'w': '0.9821', 'd': '0.0161', 'l': '0.0018'}",2016,Bundesliga
1383,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '2', 'a': '1'}","{'h': '3.98127', 'a': '1.07265'}",2016-10-15 17:30:00,"{'w': '0.9409', 'd': '0.0461', 'l': '0.013'}",2016,Bundesliga
1384,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '1', 'a': '1'}","{'h': '0.414301', 'a': '0.73357'}",2016-10-15 17:30:00,"{'w': '0.185', 'd': '0.417', 'l': '0.398'}",2016,Bundesliga
1385,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '2', 'a': '1'}","{'h': '2.4316', 'a': '0.860554'}",2016-10-15 17:30:00,"{'w': '0.7766', 'd': '0.155', 'l': '0.0684'}",2016,Bundesliga
1386,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '2.01559', 'a': '1.4782'}",2016-10-15 17:30:00,"{'w': '0.5165', 'd': '0.267', 'l': '0.2165'}",2016,Bundesliga
1387,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '1.51915', 'a': '0.548105'}",2016-10-15 20:30:00,"{'w': '0.6829', 'd': '0.2228', 'l': '0.0943'}",2016,Bundesliga
