id,isResult,h,a,goals,xG,datetime,forecast,season,league
503,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '0'}","{'h': '1.98503', 'a': '0.464523'}",2016-09-17 18:00:00,"{'w': '0.8043', 'd': '0.155', 'l': '0.0407'}",2016,EPL
504,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '0'}","{'h': '3.38733', 'a': '0.389672'}",2016-09-17 18:00:00,"{'w': '0.971', 'd': '0.0252', 'l': '0.0038'}",2016,EPL
505,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '2'}","{'h': '1.94229', 'a': '2.37422'}",2016-09-17 18:00:00,"{'w': '0.2819', 'd': '0.2606', 'l': '0.4575'}",2016,EPL
506,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '3', 'a': '1'}","{'h': '1.17467', 'a': '0.178081'}",2016-09-17 20:30:00,"{'w': '0.6985', 'd': '0.2628', 'l': '0.0387'}",2016,EPL
507,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '1'}","{'h': '1.74506', 'a': '1.41359'}",2016-09-18 15:00:00,"{'w': '0.4477', 'd': '0.2906', 'l': '0.2617'}",2016,EPL
508,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '4', 'a': '1'}","{'h': '1.31366', 'a': '1.20308'}",2016-09-18 17:15:00,"{'w': '0.3724', 'd': '0.3114', 'l': '0.3162'}",2016,EPL
509,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '0'}","{'h': '2.15218', 'a': '0.490661'}",2016-09-18 17:15:00,"{'w': '0.7973', 'd': '0.1491', 'l': '0.0536'}",2016,EPL
510,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '2.52591', 'a': '0.960821'}",2016-09-18 19:30:00,"{'w': '0.7549', 'd': '0.1649', 'l': '0.0802'}",2016,EPL
515,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '3'}","{'h': '1.11096', 'a': '2.57704'}",2016-09-24 15:00:00,"{'w': '0.0867', 'd': '0.1701', 'l': '0.7432'}",2016,EPL
511,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '4', 'a': '1'}","{'h': '2.45604', 'a': '0.286966'}",2016-09-24 15:30:00,"{'w': '0.9268', 'd': '0.0632', 'l': '0.01'}",2016,EPL
